Year,Sport,Medal,Count
1896,Swimming,Gold,0
1896,Swimming,Silver,0
1896,Swimming,Bronze,0
1900,Swimming,Gold,2
1900,Swimming,Silver,0
1900,Swimming,Bronze,0
1904,Swimming,Gold,0
1904,Swimming,Silver,0
1904,Swimming,Bronze,0
1908,Swimming,Gold,0
1908,Swimming,Silver,1
1908,Swimming,Bronze,1
1912,Swimming,Gold,2
1912,Swimming,Silver,2
1912,Swimming,Bronze,2
1920,Swimming,Gold,0
1920,Swimming,Silver,1
1920,Swimming,Bronze,1
1924,Swimming,Gold,1
1924,Swimming,Silver,1
1924,Swimming,Bronze,2
1928,Swimming,Gold,0
1928,Swimming,Silver,2
1928,Swimming,Bronze,0
1932,Swimming,Gold,1
1932,Swimming,Silver,1
1932,Swimming,Bronze,0
1936,Swimming,Gold,0
1936,Swimming,Silver,0
1936,Swimming,Bronze,0
1948,Swimming,Gold,0
1948,Swimming,Silver,2
1948,Swimming,Bronze,2
1952,Swimming,Gold,1
1952,Swimming,Silver,0
1952,Swimming,Bronze,0
1956,Swimming,Gold,8
1956,Swimming,Silver,4
1956,Swimming,Bronze,2
1960,Swimming,Gold,5
1960,Swimming,Silver,5
1960,Swimming,Bronze,3
1964,Swimming,Gold,4
1964,Swimming,Silver,1
1964,Swimming,Bronze,4
1968,Swimming,Gold,3
1968,Swimming,Silver,2
1968,Swimming,Bronze,3
1972,Swimming,Gold,6
1972,Swimming,Silver,2
1972,Swimming,Bronze,2
1976,Swimming,Gold,0
1976,Swimming,Silver,0
1976,Swimming,Bronze,1
1980,Swimming,Gold,2
1980,Swimming,Silver,0
1980,Swimming,Bronze,5
1984,Swimming,Gold,1
1984,Swimming,Silver,5
1984,Swimming,Bronze,6
1988,Swimming,Gold,1
1988,Swimming,Silver,1
1988,Swimming,Bronze,1
1992,Swimming,Gold,1
1992,Swimming,Silver,3
1992,Swimming,Bronze,5
1996,Swimming,Gold,2
1996,Swimming,Silver,4
1996,Swimming,Bronze,6
2000,Swimming,Gold,5
2000,Swimming,Silver,9
2000,Swimming,Bronze,4
2004,Swimming,Gold,7
2004,Swimming,Silver,5
2004,Swimming,Bronze,3
2008,Swimming,Gold,6
2008,Swimming,Silver,6
2008,Swimming,Bronze,8
2012,Swimming,Gold,1
2012,Swimming,Silver,6
2012,Swimming,Bronze,3
2016,Swimming,Gold,3
2016,Swimming,Silver,4
2016,Swimming,Bronze,3
2020,Swimming,Gold,9
2020,Swimming,Silver,3
2020,Swimming,Bronze,9
2024,Swimming,Gold,7
2024,Swimming,Silver,9
2024,Swimming,Bronze,3
