athlete,appearances,events_count,events,best_rank,best_event,best_time,best_gap_from_wr_seconds,first_year,last_year,career_span_years,primary_distance_group,gender,avg_rank
Cate Campbell,73,2,Women's 100m Freestyle | Women's 50m Freestyle,4,Women's 100m Freestyle,52.03,0.32,2008,2023,16,Sprint,F,103.4
Ariarne Titmus,63,3,Women's 200m Freestyle | Women's 400m Freestyle | Women's 800m Freestyle,1,Women's 200m Freestyle,01:52.23,0.0,2018,2024,7,Middle-distance,F,84.7
Mollie O'callaghan,42,2,Women's 100m Freestyle | Women's 200m Freestyle,2,Women's 200m Freestyle,01:52.48,0.25,2021,2026,6,Sprint,F,76.7
Emma Mckeon,29,3,Women's 100m Freestyle | Women's 200m Freestyle | Women's 50m Freestyle,2,Women's 100m Freestyle,51.96,0.25,2016,2023,8,Sprint,F,86.7
Lani Pallister,28,3,Women's 200m Freestyle | Women's 400m Freestyle | Women's 800m Freestyle,6,Women's 800m Freestyle,08:05.98,1.86,2022,2026,5,Middle-distance,F,123.4
Samuel Short,27,2,Men's 400m Freestyle | Men's 800m Freestyle,5,Men's 800m Freestyle,07:37.76,5.64,2023,2026,4,Middle-distance,M,74.4
Cameron Mcevoy,25,2,Men's 100m Freestyle | Men's 50m Freestyle,1,Men's 50m Freestyle,20.88,0.0,2014,2026,13,Sprint,M,67.1
Kyle Chalmers,20,1,Men's 100m Freestyle,24,Men's 100m Freestyle,47.08,0.68,2016,2025,10,Sprint,M,88.7
Elijah Winnington,18,2,Men's 400m Freestyle | Men's 800m Freestyle,14,Men's 400m Freestyle,03:41.22,1.26,2020,2025,6,Middle-distance,M,100.1
Shayna Jack,18,3,Women's 100m Freestyle | Women's 200m Freestyle | Women's 50m Freestyle,26,Women's 100m Freestyle,52.28,0.57,2022,2024,3,Sprint,F,113.2
Ian Thorpe,15,3,Men's 200m Freestyle | Men's 400m Freestyle | Men's 800m Freestyle,3,Men's 400m Freestyle,03:40.08,0.12,1999,2004,6,Middle-distance,M,42.9
Mack Horton,13,2,Men's 400m Freestyle | Men's 800m Freestyle,22,Men's 400m Freestyle,03:41.55,1.59,2013,2022,10,Middle-distance,M,122.8
Grant Hackett,11,2,Men's 400m Freestyle | Men's 800m Freestyle,10,Men's 800m Freestyle,07:38.65,6.53,2001,2008,8,Middle-distance,M,96.1
James Magnussen,9,2,Men's 100m Freestyle | Men's 50m Freestyle,28,Men's 100m Freestyle,47.10,0.7,2011,2014,4,Sprint,M,139.9
Jack Alan Mcloughlin,7,2,Men's 400m Freestyle | Men's 800m Freestyle,72,Men's 800m Freestyle,07:42.51,10.39,2018,2021,4,Middle-distance,M,125.1
Bronte Campbell,6,2,Women's 100m Freestyle | Women's 50m Freestyle,24,Women's 100m Freestyle,52.27,0.56,2015,2019,5,Sprint,F,117.7
Meg Harris,6,2,Women's 100m Freestyle | Women's 50m Freestyle,55,Women's 50m Freestyle,23.97,0.36,2024,2025,2,Sprint,F,89.8
Eamon Sullivan,5,2,Men's 100m Freestyle | Men's 50m Freestyle,20,Men's 100m Freestyle,47.05,0.65,2008,2008,1,Sprint,M,47.6
David Mckeon,4,1,Men's 400m Freestyle,123,Men's 400m Freestyle,03:43.71,3.75,2013,2015,3,Middle-distance,M,151.8
Kiah Melverton,3,1,Women's 800m Freestyle,116,Women's 800m Freestyle,08:16.79,12.67,2021,2022,2,Distance,F,164.0
Jessica Ashwood,3,1,Women's 800m Freestyle,158,Women's 800m Freestyle,08:18.14,14.02,2015,2016,2,Distance,F,163.0
Libby Lenton,2,2,Women's 100m Freestyle | Women's 50m Freestyle,61,Women's 50m Freestyle,23.97,0.36,2008,2009,2,Sprint,F,75.5
Ashley Callus,1,1,Men's 50m Freestyle,16,Men's 50m Freestyle,21.19,0.31,2009,2009,1,Sprint,M,16.0
Maximillian Giuliani,1,1,Men's 200m Freestyle,68,Men's 200m Freestyle,01:44.79,2.79,2023,2023,1,Middle-distance,M,68.0
Clyde Lewis,1,1,Men's 200m Freestyle,88,Men's 200m Freestyle,01:44.90,2.9,2019,2019,1,Middle-distance,M,88.0
Edward Sommerville,1,1,Men's 200m Freestyle,93,Men's 200m Freestyle,01:44.93,2.93,2025,2025,1,Middle-distance,M,93.0
Thomas Fraser-holmes,1,1,Men's 200m Freestyle,123,Men's 200m Freestyle,01:45.08,3.08,2014,2014,1,Middle-distance,M,123.0
Kieren Perkins,1,1,Men's 400m Freestyle,132,Men's 400m Freestyle,03:43.80,3.84,1994,1994,1,Middle-distance,M,132.0
Madison Wilson,1,1,Women's 100m Freestyle,146,Women's 100m Freestyle,52.76,1.05,2021,2021,1,Sprint,F,146.0
Alexander Graham,1,1,Men's 200m Freestyle,165,Men's 200m Freestyle,01:45.22,3.22,2021,2021,1,Middle-distance,M,165.0
Bronte Barratt,1,1,Women's 200m Freestyle,173,Women's 200m Freestyle,01:55.25,3.02,2016,2016,1,Middle-distance,F,173.0
James Roberts,1,1,Men's 100m Freestyle,179,Men's 100m Freestyle,47.63,1.23,2012,2012,1,Sprint,M,179.0
