sport,rank_by_total,medal_type,medal_count,sport_total,medal_share_within_sport_pct,sport_share_of_all_medals_pct
Swimming,1,Gold,76,230,33.04,38.33
Swimming,1,Silver,78,230,33.91,38.33
Swimming,1,Bronze,76,230,33.04,38.33
Athletics,2,Gold,22,83,26.51,13.83
Athletics,2,Silver,29,83,34.94,13.83
Athletics,2,Bronze,32,83,38.55,13.83
Cycling,3,Gold,18,62,29.03,10.33
Cycling,3,Silver,21,62,33.87,10.33
Cycling,3,Bronze,23,62,37.1,10.33
Rowing,4,Gold,13,45,28.89,7.5
Rowing,4,Silver,15,45,33.33,7.5
Rowing,4,Bronze,17,45,37.78,7.5
Canoeing,5,Gold,8,32,25.0,5.33
Canoeing,5,Silver,9,32,28.12,5.33
Canoeing,5,Bronze,15,32,46.88,5.33
Sailing,6,Gold,14,31,45.16,5.17
Sailing,6,Silver,9,31,29.03,5.17
Sailing,6,Bronze,8,31,25.81,5.17
Equestrian,7,Gold,6,15,40.0,2.5
Equestrian,7,Silver,5,15,33.33,2.5
Equestrian,7,Bronze,4,15,26.67,2.5
Diving,8,Gold,3,15,20.0,2.5
Diving,8,Silver,4,15,26.67,2.5
Diving,8,Bronze,8,15,53.33,2.5
Field hockey,9,Gold,4,13,30.77,2.17
Field hockey,9,Silver,4,13,30.77,2.17
Field hockey,9,Bronze,5,13,38.46,2.17
Shooting,10,Gold,5,12,41.67,2.0
Shooting,10,Silver,1,12,8.33,2.0
Shooting,10,Bronze,6,12,50.0,2.0
Tennis,11,Gold,2,7,28.57,1.17
Tennis,11,Silver,1,7,14.29,1.17
Tennis,11,Bronze,4,7,57.14,1.17
Basketball,12,Gold,0,7,0.0,1.17
Basketball,12,Silver,3,7,42.86,1.17
Basketball,12,Bronze,4,7,57.14,1.17
Boxing,13,Gold,0,7,0.0,1.17
Boxing,13,Silver,1,7,14.29,1.17
Boxing,13,Bronze,6,7,85.71,1.17
Triathlon,14,Gold,1,5,20.0,0.83
Triathlon,14,Silver,2,5,40.0,0.83
Triathlon,14,Bronze,2,5,40.0,0.83
Water polo,15,Gold,1,4,25.0,0.67
Water polo,15,Silver,1,4,25.0,0.67
Water polo,15,Bronze,2,4,50.0,0.67
Weightlifting,16,Gold,1,4,25.0,0.67
Weightlifting,16,Silver,1,4,25.0,0.67
Weightlifting,16,Bronze,2,4,50.0,0.67
Softball,17,Gold,0,4,0.0,0.67
Softball,17,Silver,1,4,25.0,0.67
Softball,17,Bronze,3,4,75.0,0.67
Skateboarding,18,Gold,3,3,100.0,0.5
Skateboarding,18,Silver,0,3,0.0,0.5
Skateboarding,18,Bronze,0,3,0.0,0.5
Beach volleyball,19,Gold,1,3,33.33,0.5
Beach volleyball,19,Silver,1,3,33.33,0.5
Beach volleyball,19,Bronze,1,3,33.33,0.5
Archery,20,Gold,1,3,33.33,0.5
Archery,20,Silver,0,3,0.0,0.5
Archery,20,Bronze,2,3,66.67,0.5
Wrestling,21,Gold,0,3,0.0,0.5
Wrestling,21,Silver,1,3,33.33,0.5
Wrestling,21,Bronze,2,3,66.67,0.5
Taekwondo,22,Gold,1,2,50.0,0.33
Taekwondo,22,Silver,1,2,50.0,0.33
Taekwondo,22,Bronze,0,2,0.0,0.33
Marathon swimming,23,Gold,0,2,0.0,0.33
Marathon swimming,23,Silver,1,2,50.0,0.33
Marathon swimming,23,Bronze,1,2,50.0,0.33
Surfing,24,Gold,0,2,0.0,0.33
Surfing,24,Silver,1,2,50.0,0.33
Surfing,24,Bronze,1,2,50.0,0.33
Judo,25,Gold,0,2,0.0,0.33
Judo,25,Silver,0,2,0.0,0.33
Judo,25,Bronze,2,2,100.0,0.33
Modern pentathlon,26,Gold,1,1,100.0,0.17
Modern pentathlon,26,Silver,0,1,0.0,0.17
Modern pentathlon,26,Bronze,0,1,0.0,0.17
Rugby sevens,27,Gold,1,1,100.0,0.17
Rugby sevens,27,Silver,0,1,0.0,0.17
Rugby sevens,27,Bronze,0,1,0.0,0.17
Baseball,28,Gold,0,1,0.0,0.17
Baseball,28,Silver,1,1,100.0,0.17
Baseball,28,Bronze,0,1,0.0,0.17
Gymnastics,29,Gold,0,1,0.0,0.17
Gymnastics,29,Silver,1,1,100.0,0.17
Gymnastics,29,Bronze,0,1,0.0,0.17
