sport,gold,silver,bronze,total,rank_by_total,total_share_pct,gold_share_within_sport_pct,silver_share_within_sport_pct,bronze_share_within_sport_pct,dominant_medal
Swimming,76,78,76,230,1,38.33,33.04,33.91,33.04,Silver
Athletics,22,29,32,83,2,13.83,26.51,34.94,38.55,Bronze
Cycling,18,21,23,62,3,10.33,29.03,33.87,37.1,Bronze
Rowing,13,15,17,45,4,7.5,28.89,33.33,37.78,Bronze
Canoeing,8,9,15,32,5,5.33,25.0,28.12,46.88,Bronze
Sailing,14,9,8,31,6,5.17,45.16,29.03,25.81,Gold
Equestrian,6,5,4,15,7,2.5,40.0,33.33,26.67,Gold
Diving,3,4,8,15,8,2.5,20.0,26.67,53.33,Bronze
Field hockey,4,4,5,13,9,2.17,30.77,30.77,38.46,Bronze
Shooting,5,1,6,12,10,2.0,41.67,8.33,50.0,Bronze
Tennis,2,1,4,7,11,1.17,28.57,14.29,57.14,Bronze
Basketball,0,3,4,7,12,1.17,0.0,42.86,57.14,Bronze
Boxing,0,1,6,7,13,1.17,0.0,14.29,85.71,Bronze
Triathlon,1,2,2,5,14,0.83,20.0,40.0,40.0,Silver/Bronze
Water polo,1,1,2,4,15,0.67,25.0,25.0,50.0,Bronze
Weightlifting,1,1,2,4,16,0.67,25.0,25.0,50.0,Bronze
Softball,0,1,3,4,17,0.67,0.0,25.0,75.0,Bronze
Skateboarding,3,0,0,3,18,0.5,100.0,0.0,0.0,Gold
Beach volleyball,1,1,1,3,19,0.5,33.33,33.33,33.33,Gold/Silver/Bronze
Archery,1,0,2,3,20,0.5,33.33,0.0,66.67,Bronze
Wrestling,0,1,2,3,21,0.5,0.0,33.33,66.67,Bronze
Taekwondo,1,1,0,2,22,0.33,50.0,50.0,0.0,Gold/Silver
Marathon swimming,0,1,1,2,23,0.33,0.0,50.0,50.0,Silver/Bronze
Surfing,0,1,1,2,24,0.33,0.0,50.0,50.0,Silver/Bronze
Judo,0,0,2,2,25,0.33,0.0,0.0,100.0,Bronze
Modern pentathlon,1,0,0,1,26,0.17,100.0,0.0,0.0,Gold
Rugby sevens,1,0,0,1,27,0.17,100.0,0.0,0.0,Gold
Baseball,0,1,0,1,28,0.17,0.0,100.0,0.0,Silver
Gymnastics,0,1,0,1,29,0.17,0.0,100.0,0.0,Silver
