event_key,event_label,gender,distance_m,rank_num,athlete,team_code,is_australian,meet_city,host_country_code,host_lat,host_lon,year,swim_time
F50,Women's 50m Freestyle,F,50,1,Sarah Sjoestroem,SWE,No,Fukuoka,JPN,36.2048,138.2529,2023,23.61
F50,Women's 50m Freestyle,F,50,2,Sarah Sjoestroem,SWE,No,Fukuoka,JPN,36.2048,138.2529,2023,23.62
F50,Women's 50m Freestyle,F,50,3,Sarah Sjoestroem,SWE,No,Paris,FRA,46.2276,2.2137,2024,23.66
F50,Women's 50m Freestyle,F,50,4,Sarah Sjoestroem,SWE,No,Budapest,HUN,47.1625,19.5033,2017,23.67
F50,Women's 50m Freestyle,F,50,5,Sarah Sjoestroem,SWE,No,Doha,QAT,25.3548,51.1839,2024,23.69
F50,Women's 50m Freestyle,F,50,6,Sarah Sjoestroem,SWE,No,Budapest,HUN,47.1625,19.5033,2017,23.69
F50,Women's 50m Freestyle,F,50,7,Sarah Sjoestroem,SWE,No,Paris,FRA,46.2276,2.2137,2024,23.71
F50,Women's 50m Freestyle,F,50,8,Britta Steffen,GER,No,Rome,ITA,41.8719,12.5674,2009,23.73
F50,Women's 50m Freestyle,F,50,9,Sarah Sjoestroem,SWE,No,Glasgow,GBR,55.3781,-3.436,2018,23.74
F50,Women's 50m Freestyle,F,50,10,Sarah Sjoestroem,SWE,No,Rome,ITA,41.8719,12.5674,2024,23.75
F50,Women's 50m Freestyle,F,50,11,Pernille Blume,DEN,No,Glasgow,GBR,55.3781,-3.436,2018,23.75
F50,Women's 50m Freestyle,F,50,12,Sarah Sjoestroem,SWE,No,Malmo,SWE,60.1282,18.6435,2019,23.78
F50,Women's 50m Freestyle,F,50,13,Cate Campbell,AUS,Yes,Gold Coast,AUS,-25.2744,133.7751,2018,23.78
F50,Women's 50m Freestyle,F,50,14,Cate Campbell,AUS,Yes,Gold Coast,AUS,-25.2744,133.7751,2018,23.79
F50,Women's 50m Freestyle,F,50,15,Emma Mckeon,AUS,Yes,Tokyo,JPN,36.2048,138.2529,2021,23.81
F50,Women's 50m Freestyle,F,50,16,Cate Campbell,AUS,Yes,Tokyo,JPN,36.2048,138.2529,2018,23.81
F50,Women's 50m Freestyle,F,50,18,Sarah Sjoestroem,SWE,No,Kazan,RUS,61.524,105.3188,2018,23.83
F50,Women's 50m Freestyle,F,50,19,Sarah Sjoestroem,SWE,No,Stockholm,SWE,60.1282,18.6435,2017,23.83
F50,Women's 50m Freestyle,F,50,21,Cate Campbell,AUS,Yes,Adelaide,AUS,-25.2744,133.7751,2016,23.84
F50,Women's 50m Freestyle,F,50,22,Sarah Sjoestroem,SWE,No,Paris,FRA,46.2276,2.2137,2024,23.85
F50,Women's 50m Freestyle,F,50,23,Pernille Blume,DEN,No,Glasgow,GBR,55.3781,-3.436,2018,23.85
F50,Women's 50m Freestyle,F,50,24,Ranomi Kromowidjojo,NED,No,Budapest,HUN,47.1625,19.5033,2017,23.85
F50,Women's 50m Freestyle,F,50,25,Sarah Sjoestroem,SWE,No,Boras,SWE,60.1282,18.6435,2017,23.85
F50,Women's 50m Freestyle,F,50,26,Sarah Sjoestroem,SWE,No,Canet-en-Roussillon,FRA,46.2276,2.2137,2017,23.85
F50,Women's 50m Freestyle,F,50,29,Cate Campbell,AUS,Yes,Gold Coast,AUS,-25.2744,133.7751,2018,23.88
F50,Women's 50m Freestyle,F,50,30,Therese Alshammar,SWE,No,Rome,ITA,41.8719,12.5674,2009,23.88
F50,Women's 50m Freestyle,F,50,31,Sarah Sjoestroem,SWE,No,Doha,QAT,25.3548,51.1839,2024,23.90
F50,Women's 50m Freestyle,F,50,33,Gretchen Walsh,USA,No,Indianapolis,USA,37.0902,-95.7129,2025,23.91
F50,Women's 50m Freestyle,F,50,36,Kate Douglass,USA,No,Doha,QAT,25.3548,51.1839,2024,23.91
F50,Women's 50m Freestyle,F,50,37,Sarah Sjoestroem,SWE,No,Doha,QAT,25.3548,51.1839,2024,23.91
F50,Women's 50m Freestyle,F,50,38,Sarah Sjoestroem,SWE,No,Rome,ITA,41.8719,12.5674,2022,23.91
F50,Women's 50m Freestyle,F,50,39,Sarah Sjoestroem,SWE,No,Stockholm,SWE,60.1282,18.6435,2019,23.91
F50,Women's 50m Freestyle,F,50,40,Sarah Sjoestroem,SWE,No,Stockholm,SWE,60.1282,18.6435,2023,23.92
F50,Women's 50m Freestyle,F,50,41,Sarah Sjoestroem,SWE,No,Glasgow,GBR,55.3781,-3.436,2018,23.92
F50,Women's 50m Freestyle,F,50,42,Pernille Blume,DEN,No,Rome,ITA,41.8719,12.5674,2018,23.92
F50,Women's 50m Freestyle,F,50,43,Sarah Sjoestroem,SWE,No,Fukuoka,JPN,36.2048,138.2529,2023,23.93
F50,Women's 50m Freestyle,F,50,44,Sarah Sjoestroem,SWE,No,Rome,ITA,41.8719,12.5674,2023,23.93
F50,Women's 50m Freestyle,F,50,45,Emma Mckeon,AUS,Yes,Adelaide,AUS,-25.2744,133.7751,2021,23.93
F50,Women's 50m Freestyle,F,50,46,Cate Campbell,AUS,Yes,Adelaide,AUS,-25.2744,133.7751,2021,23.94
F50,Women's 50m Freestyle,F,50,47,Katarzyna Wasick,POL,No,Doha,QAT,25.3548,51.1839,2024,23.95
F50,Women's 50m Freestyle,F,50,48,Sarah Sjoestroem,SWE,No,Berlin,GER,51.1657,10.4515,2023,23.95
F50,Women's 50m Freestyle,F,50,50,Sarah Sjoestroem,SWE,No,Landskrona,SWE,60.1282,18.6435,2018,23.96
F50,Women's 50m Freestyle,F,50,51,Sarah Sjoestroem,SWE,No,Barcelona,ESP,40.4637,-3.7492,2017,23.96
F50,Women's 50m Freestyle,F,50,52,Cate Campbell,AUS,Yes,Gold Coast,AUS,-25.2744,133.7751,2014,23.96
F50,Women's 50m Freestyle,F,50,53,Fran Halsall,GBR,No,Glasgow,GBR,55.3781,-3.436,2014,23.96
F50,Women's 50m Freestyle,F,50,54,Magdalena Veldhuis,NED,No,Amsterdam,NED,52.1326,5.2913,2009,23.96
F50,Women's 50m Freestyle,F,50,55,Meg Harris,AUS,Yes,Paris,FRA,46.2276,2.2137,2024,23.97
F50,Women's 50m Freestyle,F,50,56,Sarah Sjoestroem,SWE,No,Budapest,HUN,47.1625,19.5033,2023,23.97
F50,Women's 50m Freestyle,F,50,57,Xiang Liu,CHN,No,Xi'an,CHN,35.8617,104.1954,2021,23.97
F50,Women's 50m Freestyle,F,50,58,Ranomi Kromowidjojo,NED,No,Budapest,HUN,47.1625,19.5033,2021,23.97
F50,Women's 50m Freestyle,F,50,59,Sarah Sjoestroem,SWE,No,Budapest,HUN,47.1625,19.5033,2019,23.97
F50,Women's 50m Freestyle,F,50,60,Simone Manuel,USA,No,Budapest,HUN,47.1625,19.5033,2017,23.97
F50,Women's 50m Freestyle,F,50,61,Libby Lenton,AUS,Yes,Sydney,AUS,-25.2744,133.7751,2008,23.97
F50,Women's 50m Freestyle,F,50,62,Torri Huske,USA,No,Indianapolis,USA,37.0902,-95.7129,2025,23.98
F50,Women's 50m Freestyle,F,50,63,Sarah Sjoestroem,SWE,No,Budapest,HUN,47.1625,19.5033,2022,23.98
F50,Women's 50m Freestyle,F,50,64,Pernille Blume,DEN,No,Glasgow,GBR,55.3781,-3.436,2018,23.98
F50,Women's 50m Freestyle,F,50,65,Sarah Sjoestroem,SWE,No,Boras,SWE,60.1282,18.6435,2014,23.98
F50,Women's 50m Freestyle,F,50,66,Shayna Jack,AUS,Yes,Brisbane,AUS,-25.2744,133.7751,2024,23.99
F50,Women's 50m Freestyle,F,50,67,Emma Mckeon,AUS,Yes,Birmingham,GBR,55.3781,-3.436,2022,23.99
F50,Women's 50m Freestyle,F,50,68,Sarah Sjoestroem,SWE,No,Doha,QAT,25.3548,51.1839,2018,23.99
F50,Women's 50m Freestyle,F,50,69,Cate Campbell,AUS,Yes,Rome,ITA,41.8719,12.5674,2009,23.99
F50,Women's 50m Freestyle,F,50,70,Magdalena Veldhuis,NED,No,Rome,ITA,41.8719,12.5674,2009,23.99
F50,Women's 50m Freestyle,F,50,71,Abbey Weitzeil,USA,No,Indianapolis,USA,37.0902,-95.7129,2023,24.00
F50,Women's 50m Freestyle,F,50,72,Emma Mckeon,AUS,Yes,Tokyo,JPN,36.2048,138.2529,2021,24.00
F50,Women's 50m Freestyle,F,50,73,Cate Campbell,AUS,Yes,Guangzhou,CHN,35.8617,104.1954,2019,24.00
F50,Women's 50m Freestyle,F,50,74,Pernille Blume,DEN,No,Budapest,HUN,47.1625,19.5033,2017,24.00
F50,Women's 50m Freestyle,F,50,75,Cate Campbell,AUS,Yes,Glasgow,GBR,55.3781,-3.436,2014,24.00
F50,Women's 50m Freestyle,F,50,76,Katarzyna Wasick,POL,No,Doha,QAT,25.3548,51.1839,2024,24.01
