activity,activity_order,age_group,age_group_order,participation_rate_pct,estimated_participants,source_cohort,rank_in_source_top10,has_full_age_profile_0to65,activity_age_label
Swimming,1,0-4,1,22.5,341597,Children and teens 0-17,1,Yes,Swimming (0-4)
Swimming,1,5-8,2,32.1,413022,Children and teens 0-17,1,Yes,Swimming (5-8)
Swimming,1,9-11,3,24.6,247751,Children and teens 0-17,1,Yes,Swimming (9-11)
Swimming,1,12-14,4,12.0,122006,Children and teens 0-17,1,Yes,Swimming (12-14)
Swimming,1,15-17,5,17.6,177777,Children and teens 0-17,1,Yes,Swimming (15-17)
Swimming,1,18-24,6,16.3,404911,Adults 18+,5,Yes,Swimming (18-24)
Swimming,1,25-34,7,16.6,674922,Adults 18+,5,Yes,Swimming (25-34)
Swimming,1,35-44,8,18.3,711006,Adults 18+,5,Yes,Swimming (35-44)
Swimming,1,45-54,9,16.7,556978,Adults 18+,5,Yes,Swimming (45-54)
Swimming,1,55-64,10,16.0,494315,Adults 18+,5,Yes,Swimming (55-64)
Swimming,1,65+,11,9.7,463563,Adults 18+,5,Yes,Swimming (65+)
Walking (Recreational),1,18-24,6,34.2,847416,Adults 18+,1,No,Walking (Recreational) (18-24)
Walking (Recreational),1,25-34,7,41.9,1703592,Adults 18+,1,No,Walking (Recreational) (25-34)
Walking (Recreational),1,35-44,8,47.5,1846165,Adults 18+,1,No,Walking (Recreational) (35-44)
Walking (Recreational),1,45-54,9,58.7,1960969,Adults 18+,1,No,Walking (Recreational) (45-54)
Walking (Recreational),1,55-64,10,66.0,2041184,Adults 18+,1,No,Walking (Recreational) (55-64)
Walking (Recreational),1,65+,11,55.8,2658020,Adults 18+,1,No,Walking (Recreational) (65+)
Fitness/Gym,2,18-24,6,43.4,1076583,Adults 18+,2,No,Fitness/Gym (18-24)
Fitness/Gym,2,25-34,7,42.1,1711890,Adults 18+,2,No,Fitness/Gym (25-34)
Fitness/Gym,2,35-44,8,36.4,1413027,Adults 18+,2,No,Fitness/Gym (35-44)
Fitness/Gym,2,45-54,9,32.9,1100531,Adults 18+,2,No,Fitness/Gym (45-54)
Fitness/Gym,2,55-64,10,29.5,912669,Adults 18+,2,No,Fitness/Gym (55-64)
Fitness/Gym,2,65+,11,23.7,1127691,Adults 18+,2,No,Fitness/Gym (65+)
Football/soccer,2,0-4,1,5.8,88815,Children and teens 0-17,2,Yes,Football/soccer (0-4)
Football/soccer,2,5-8,2,17.4,223769,Children and teens 0-17,2,Yes,Football/soccer (5-8)
Football/soccer,2,9-11,3,21.0,210866,Children and teens 0-17,2,Yes,Football/soccer (9-11)
Football/soccer,2,12-14,4,16.5,166847,Children and teens 0-17,2,Yes,Football/soccer (12-14)
Football/soccer,2,15-17,5,17.0,171713,Children and teens 0-17,2,Yes,Football/soccer (15-17)
Football/soccer,2,18-24,6,12.3,305475,Adults 18+,8,Yes,Football/soccer (18-24)
