rank,cohort,activity,segment_type,segment,segment_order,participation_rate_pct,estimated_participants,source_table_note
1,Children and teens 0-17,Swimming,Total,Total,1,23.3,1124376,AusPlay children table
1,Children and teens 0-17,Swimming,Gender,Males,2,22.4,554584,AusPlay children table
1,Children and teens 0-17,Swimming,Gender,Females,3,24.3,567863,AusPlay children table
1,Children and teens 0-17,Swimming,Age group,0-4,4,22.5,341597,AusPlay children table
1,Children and teens 0-17,Swimming,Age group,5-8,5,32.1,413022,AusPlay children table
1,Children and teens 0-17,Swimming,Age group,9-11,6,24.6,247751,AusPlay children table
1,Children and teens 0-17,Swimming,Age group,12-14,7,12.0,122006,AusPlay children table
1,Children and teens 0-17,Swimming,Age group,15-17,8,17.6,177777,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
2,Children and teens 0-17,Football/soccer,Total,Total,1,14.3,690297,AusPlay children table
2,Children and teens 0-17,Football/soccer,Gender,Males,2,21.3,525033,AusPlay children table
2,Children and teens 0-17,Football/soccer,Gender,Females,3,7.1,164847,AusPlay children table
2,Children and teens 0-17,Football/soccer,Age group,0-4,4,5.8,88815,AusPlay children table
2,Children and teens 0-17,Football/soccer,Age group,5-8,5,17.4,223769,AusPlay children table
2,Children and teens 0-17,Football/soccer,Age group,9-11,6,21.0,210866,AusPlay children table
2,Children and teens 0-17,Football/soccer,Age group,12-14,7,16.5,166847,AusPlay children table
2,Children and teens 0-17,Football/soccer,Age group,15-17,8,17.0,171713,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
3,Children and teens 0-17,Basketball,Total,Total,1,7.1,341727,AusPlay children table
3,Children and teens 0-17,Basketball,Gender,Males,2,9.3,230235,AusPlay children table
3,Children and teens 0-17,Basketball,Gender,Females,3,4.7,110547,AusPlay children table
3,Children and teens 0-17,Basketball,Age group,0-4,4,0.7,10075,AusPlay children table
3,Children and teens 0-17,Basketball,Age group,5-8,5,8.2,105636,AusPlay children table
3,Children and teens 0-17,Basketball,Age group,9-11,6,10.4,104818,AusPlay children table
3,Children and teens 0-17,Basketball,Age group,12-14,7,12.0,121198,AusPlay children table
3,Children and teens 0-17,Basketball,Age group,15-17,8,17.3,174376,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
4,Children and teens 0-17,Gymnastics,Total,Total,1,7.0,336432,AusPlay children table
4,Children and teens 0-17,Gymnastics,Gender,Males,2,3.1,75738,AusPlay children table
4,Children and teens 0-17,Gymnastics,Gender,Females,3,11.1,259423,AusPlay children table
4,Children and teens 0-17,Gymnastics,Age group,0-4,4,5.9,89681,AusPlay children table
4,Children and teens 0-17,Gymnastics,Age group,5-8,5,10.6,136466,AusPlay children table
4,Children and teens 0-17,Gymnastics,Age group,9-11,6,7.9,79574,AusPlay children table
4,Children and teens 0-17,Gymnastics,Age group,12-14,7,3.0,30711,AusPlay children table
4,Children and teens 0-17,Gymnastics,Age group,15-17,8,2.5,25228,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
5,Children and teens 0-17,Australian football,Total,Total,1,5.9,283683,AusPlay children table
5,Children and teens 0-17,Australian football,Gender,Males,2,8.7,214451,AusPlay children table
5,Children and teens 0-17,Australian football,Gender,Females,3,2.9,68634,AusPlay children table
5,Children and teens 0-17,Australian football,Age group,0-4,4,1.3,19038,AusPlay children table
5,Children and teens 0-17,Australian football,Age group,5-8,5,8.5,109698,AusPlay children table
5,Children and teens 0-17,Australian football,Age group,9-11,6,7.5,74984,AusPlay children table
5,Children and teens 0-17,Australian football,Age group,12-14,7,7.9,79965,AusPlay children table
5,Children and teens 0-17,Australian football,Age group,15-17,8,6.0,60908,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
6,Children and teens 0-17,Dancing (recreational),Total,Total,1,5.7,273409,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Gender,Males,2,1.1,26063,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Gender,Females,3,10.6,247346,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Age group,0-4,4,4.1,62566,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Age group,5-8,5,8.7,111361,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Age group,9-11,6,5.5,55615,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Age group,12-14,7,4.3,43867,AusPlay children table
6,Children and teens 0-17,Dancing (recreational),Age group,15-17,8,2.6,26498,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
7,Children and teens 0-17,Netball,Total,Total,1,5.0,239315,AusPlay children table
7,Children and teens 0-17,Netball,Gender,Males,2,0.6,15991,AusPlay children table
7,Children and teens 0-17,Netball,Gender,Females,3,9.5,222677,AusPlay children table
7,Children and teens 0-17,Netball,Age group,0-4,4,0.3,4777,AusPlay children table
7,Children and teens 0-17,Netball,Age group,5-8,5,3.6,46519,AusPlay children table
7,Children and teens 0-17,Netball,Age group,9-11,6,8.3,83894,AusPlay children table
7,Children and teens 0-17,Netball,Age group,12-14,7,10.3,104125,AusPlay children table
7,Children and teens 0-17,Netball,Age group,15-17,8,8.1,82164,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
8,Children and teens 0-17,Tennis,Total,Total,1,3.9,187490,AusPlay children table
8,Children and teens 0-17,Tennis,Gender,Males,2,4.3,105956,AusPlay children table
8,Children and teens 0-17,Tennis,Gender,Females,3,3.5,81533,AusPlay children table
8,Children and teens 0-17,Tennis,Age group,0-4,4,0.7,11067,AusPlay children table
8,Children and teens 0-17,Tennis,Age group,5-8,5,4.5,57518,AusPlay children table
8,Children and teens 0-17,Tennis,Age group,9-11,6,6.3,63469,AusPlay children table
8,Children and teens 0-17,Tennis,Age group,12-14,7,5.5,55436,AusPlay children table
8,Children and teens 0-17,Tennis,Age group,15-17,8,9.5,95372,15-17 copied from AusPlay adult table and reclassified as children/young people for this visualisation
9,Children and teens 0-17,Cricket,Total,Total,1,3.4,163181,AusPlay children table
